id,happiness,survey_type,province,city,county,survey_time,gender,birth,nationality,religion,religion_freq,edu,income,political,floor_area,height_cm,weight_jin,health,health_problem,depression,hukou,socialize,relax,learn,equity,class,work_exper,work_status,work_yr,work_type,work_manage,family_income,family_m,family_status,house,car,marital,status_peer,status_3_before,view,inc_ability
1,4,1,12,32,59,2015/8/4 14:18,1,1959,1,1,1,11,20000,1,45,176,155,3,2,5,5,2,4,3,3,3,1,3,30,1,2,60000,2,2,1,2,3,3,2,4,3
2,4,2,18,52,85,2015/7/21 15:04,1,1992,1,1,1,12,20000,1,110,170,110,5,4,3,1,2,4,3,3,6,1,3,2,1,3,40000,3,4,1,2,1,1,1,4,2
3,4,2,29,83,126,2015/7/21 13:24,2,1967,1,0,3,4,2000,1,120,160,122,4,4,5,1,3,4,2,4,5,2,,,,,8000,3,3,1,2,3,2,1,4,2
4,5,2,10,28,51,2015/7/25 17:33,2,1943,1,1,1,3,6420,1,78,163,170,4,4,4,1,2,4,4,4,5,4,,,,,12000,3,3,1,1,7,2,1,3,2
5,4,1,7,18,36,2015/8/10 9:50,2,1994,1,1,1,12,-1,2,70,165,110,5,5,3,2,4,3,4,2,1,6,,,,,-2,4,3,1,1,1,3,2,3,-8
6,5,2,18,52,86,2015/7/18 12:09,1,1946,1,1,1,2,5000,1,300,172,140,5,5,4,1,3,3,2,4,8,4,,,,,5000,2,3,1,2,3,3,1,4,3
7,4,1,10,27,49,2015/7/26 14:51,1,1963,1,1,1,4,-3,4,89,160,120,2,2,2,2,1,3,1,4,2,1,3,30,1,3,-3,3,2,1,2,3,3,2,4,3
8,4,1,11,31,54,2015/7/19 13:12,1,1959,1,0,8,4,-1,1,130,176,140,3,5,5,2,3,3,3,4,2,5,,,,,-1,2,3,1,2,3,2,2,4,-8
9,4,2,28,81,122,2015/8/1 9:25,1,1952,1,1,1,3,1600,1,36,175,95,2,2,2,1,2,2,1,4,3,2,,,,,1600,1,2,1,2,1,3,2,3,3
10,4,2,24,70,110,2015/8/3 19:23,1,1985,1,1,1,3,60000,1,80,172,140,4,5,4,1,3,3,2,4,5,5,,,,,60000,5,3,1,1,3,2,2,3,2
11,4,1,6,15,31,2015/8/9 19:12,2,1988,1,1,1,6,24000,1,200,165,100,4,4,5,1,3,3,1,4,4,5,,,,,60000,5,3,1,2,3,2,2,4,2
12,4,2,23,69,109,2015/9/23 19:12,1,1968,1,0,3,1,8000,1,199,173,120,4,2,2,1,4,4,1,2,6,4,,,,,16500,3,3,3,2,3,3,1,4,2
13,4,1,21,64,100,2015/7/18 9:33,1,1964,1,1,3,10,36000,4,80,171,120,4,5,4,2,2,3,3,3,4,1,3,35,1,3,36000,2,2,1,2,3,2,1,5,2
14,2,1,4,7,14,2015/10/18 16:03,2,1939,1,1,1,3,40000,1,56,156,115,1,1,1,5,1,2,1,3,1,5,,,,,90000,2,3,1,2,3,2,3,3,2
